Country;GDP_Capita;Life_Expect;Education;Energy_Access;Protected_Areas;Energy_Efficiency;RD_Spend
Austria;70734,94256;81,29512195;101,4580002;100;29,5;2,55;3,20048
Belgium;68157,83479;81,74878049;142,9180756;100;17,8;3,4;3,40544
Bulgaria;35815,27142;74,16097561;96,67207336;100;33,1;4,72;0,75421
Croatia;41958,27423;77,57560976;105,5777969;100;23,9;2,75;1,40323
Cyprus;54850,9375;80,434;104,005722;100;11,2;2,36;0,74527
Czechia;51709,83739;78,92926829;102,9355621;100;22,2;3,98;1,9642
Denmark;77400,3348;81,30487805;130,3269958;100;17,9;1,83;2,89051
Estonia;47802,00731;77,84390244;112,5518494;100;20,2;4,12;1,78205
Finland;61347,15785;81,18780488;144,8524628;100;13,1;4,82;2,96469
France;56082,59084;82,12926829;104,3164368;100;36,6;2,83;2,23312
Germany;68093,78831;80,60804878;100,8172989;100;38,7;2,47;3,13236
Greece;38969,02217;80,78780488;106,216713;100;11;2,58;1,48596
Hungary;44012,26773;75,86829268;102,908577;100;22,6;3,12;1,39473
Ireland;136104,4453;82,5097561;133,1504974;100;4;0,97;0,96264
Italy;56247,41559;82,7;101,3538589;100;14,5;2,3;1,39014
Latvia;39960,84434;74,27804878;104,7645264;100;17,5;2,88;0,76382
Lithuania;50498,3824;75,64390244;106,9183578;100;17,8;2,59;1,05319
Luxembourg;143381,8975;82,94634146;107,8397598;100;55,8;1,71;0,97653
Netherlands;77152,22376;81,61463415;138,7675018;100;25,3;2,53;2,25533
Portugal;44557,28105;81,63170732;120,9261398;100;17,2;2,31;1,70179
Romania;42070,48816;75,15365854;83,03347015;100;24,4;2,12;0,45881
Slovenia;51079,17807;81,28292683;107,8748093;100;40,1;3,15;2,09525
Slovak Republic;41096,0185;76,96585366;92,20430756;100;37,6;3,83;0,97939
Spain;50468,09669;83,13414634;119,0155106;100;17,9;2,53;1,43532
Sweden;66375,61646;83,05853659;139,4065247;100;15,5;3,24;3,40822
Malta;59511,93403;82,44878049;102,6950378;100;7,6;1,18;0,60433
